id,format,bitrate,lowpass
01,mp2,32k,None
02,mp2,48k,None
03,mp2,64k,None
04,mp2,96k,None
05,mp2,128k,None
06,mp2,192k,None
07,mp2,256k,None
08,mp2,320k,None
09,mp3,32k,None
10,mp3,48k,None
11,mp3,64k,None
12,mp3,96k,None
13,mp3,128k,None
14,mp3,192k,None
15,mp3,256k,None
16,mp3,320k,None
17,adts,24k,None
18,adts,32k,None
19,adts,48k,None
20,adts,64k,None
21,adts,96k,None
22,adts,128k,None
23,adts,192k,None
24,adts,256k,None
25,adts,320k,None
26,adts,512k,None
27,adts,700k,None
28,ogg,48k,None
29,ogg,64k,None
30,ogg,96k,None
31,ogg,128k,None
32,ogg,192k,None
33,opus,24k,None
34,opus,32k,None
35,opus,48k,None
36,opus,64k,None
37,opus,96k,None
38,opus,128k,None
39,opus,160k,None
40,opus,192k,None
41,opus,256k,None
42,wav,None,3500
43,wav,None,5000
44,wav,None,7500
45,wav,None,9000